"","docname","Segment","WC","WPS","Sixltr","Dic","Funct","TotPron","PronPer","Yo","Nosotro","TuUtd","ElElla","Ellos","PronImp","Articulo","Verbos","VerbAux","Pasado","Present","Futuro","Adverb","Prepos","Conjunc","Negacio","Cuantif","Numeros","Maldec","verbYO","verbTU","verbNOS","verbosEL","verbELLOS","Subjuntiv","VosUtds","formal","informal","verbVos","Social","Familia","Amigos","Humanos","Afect","EmoPos","EmoNeg","Ansiedad","Enfado","Triste","MecCog","Insight","Causa","Discrep","Tentat","Certeza","Inhib","Incl","Excl","Percept","Ver","Oir","Sentir","Biolog","Cuerpo","Salud","Sexual","Ingerir","Relativ","Movim","Espacio","Tiempo","Trabajo","Logro","Placer","Hogar","Dinero","Relig","Muerte","Asentir","NoFluen","Relleno","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"1","text1",1,2194,56.2564102564103,"33.32","239.0","50.2735","27.2978","27.4809","0.0000","1.83276","0.7722","580.6452","3.25945","10.9142","17.6471","45.3704","6.6914","3.4646","22.8637","1.0724","4.8304","370.476","18.1568","2.2857","7.6512","8.8785","0.0000","4.3478","0.2857","0.9198","3.8605","1.5015","3.1710","0.0000","0.00000","0.0000","0.00000","21.3296","1.1804","1.28617","5.1360","18.4255","21.7125","14.5038","0.20367","1.66746","4.7120","157.917","5.4369","12.01923","1.45455","2.8067","13.2353","0.50569","13.4532","2.6810","17.3077","0.0000","1.3605","0.71174","4.14847","20.290","2.50000","0.25623","0.99071","22.020","11.8590","30.9091","29.121","22.7129","39.1534","2.79627","0.52770","5.5696","0.91575","4.72973","0.4132","0.00000","0","11.486","1.869","7.384","0.00000","0.13674","0.00000","0.00000","0.54695","1.45852","0.00000","0","9.435"
"2","text2",2,1088,27.2,"32.17","259.3","24.8405","12.6838","13.7405","0.0000","0.68729","0.0000","277.4194","4.30248","4.4776","8.7506","27.1605","2.9740","4.5669","10.6236","1.3405","2.3638","171.429","8.6657","1.3333","3.2028","7.4766","0.0000","0.9662","0.0000","0.7884","0.8717","1.6517","2.0385","0.1451","0.00000","0.0000","0.00000","12.7424","0.5059","0.32154","3.0211","11.7253","10.7034","10.1781","0.25458","1.00048","4.1885","86.250","5.8252","6.25000","0.65455","1.5593","9.7059","0.21070","7.1942","2.1448","22.1154","0.3984","3.4014","3.20285","2.62009","14.493","2.50000","0.09317","0.37152","14.075","6.7308","20.0000","22.527","8.8328","16.9312","1.46471","0.52770","1.5190","0.54945","3.04054","0.3099","0.00000","0","10.662","3.585","6.526","0.00000","0.00000","0.00000","0.09191","0.27574","0.00000","0.00000","0","10.386"
"3","text3",3,578,30.4210526315789,"33.74","248.3","13.2179","7.3529","9.1603","0.0000","0.57274","0.0000","190.3226","2.99870","1.8657","3.6947","11.7284","1.1152","1.5748","5.3118","0.0000","1.2333","100.952","4.5392","0.5714","1.9573","7.4766","0.0000","1.9324","0.0000","0.0000","0.6227","0.3003","0.9060","0.1451","0.00000","0.0000","0.00000","8.0332","0.6745","1.28617","3.0211","5.3601","3.6697","5.0891","0.05092","0.66698","1.5707","35.417","1.1650","2.88462","0.00000","0.7035","1.4706","0.00000","4.0288","1.4745","5.7692","0.1992","0.6803","0.71174","1.31004","8.696","0.75000","0.09317","0.18576","7.264","2.8846","9.0909","11.538","4.1009","7.4074","0.66578","0.00000","1.7722","0.73260","1.01351","0.0000","0.00000","0","11.246","3.287","7.785","0.00000","0.00000","0.00000","0.00000","0.17301","0.00000","0.00000","0","11.073"
"4","text4",4,655,54.5833333333333,"32.37","233.6","14.5397","7.3529","7.7863","0.0000","0.22910","0.0000","161.2903","1.43416","2.7052","5.2504","17.5926","2.6022","0.7874","11.5473","0.0000","1.6444","105.714","4.8143","1.1429","2.1352","2.3364","0.0000","0.9662","0.0000","0.1314","1.4944","1.2012","0.5663","0.0000","0.00000","0.0000","0.00000","6.3712","0.0000","0.00000","2.1148","5.3601","3.0581","4.8346","0.05092","0.61934","0.0000","36.250","0.9709","3.36538","0.21818","0.5025","1.7647","0.12642","3.3813","0.8043","11.5385","0.3984","2.7211","0.00000","1.41921","5.797","0.50000","0.00000","0.61920","7.946","3.2051","9.3506","13.187","11.6719","10.5820","0.26631","0.08795","0.5063","0.19048","0.00000","0.0000","0.00000","0","12.214","1.832","9.313","0.15267","0.15267","0.00000","0.15267","0.00000","0.61069","0.00000","0","12.214"
"5","text5",5,718,23.9333333333333,"32.73","261.7","15.9070","8.8235","7.7863","0.0000","1.94731","0.3861","158.0645","2.08605","4.1978","4.6670","21.2963","2.2305","1.4173","11.5473","0.5362","2.0555","113.333","5.5021","1.1765","3.9146","1.8692","0.0000","2.8986","0.0000","0.7884","1.6189","0.7508","1.0193","0.1451","0.00000","0.0000","0.00000","14.2659","0.0000","0.32154","4.2296","6.3652","8.2569","4.3257","0.10183","0.38113","1.5707","57.083","2.5243","2.88462","0.21818","0.7035","6.1765","0.08428","4.6763","1.2064","10.5769","0.0000","2.0408","0.35587","1.20087","0.000","0.75000","0.00000","0.49536","10.897","4.8077","14.8052","14.835","5.0473","14.2857","0.66578","0.17590","1.2658","0.19048","1.35135","0.4132","0.00000","0","11.142","3.621","5.850","0.00000","0.00000","0.00000","0.55710","0.55710","0.00000","0.00000","0","10.585"
"6","text6",6,85,14.1666666666667,"16.47","241.2","1.8232","1.2868","1.2214","0.0000","0.00000","0.0000","25.8065","0.65189","0.5597","0.4861","1.8519","0.0000","0.0000","1.3857","0.0000","0.0000","15.238","0.2751","0.0000","0.1779","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.00000","1.2465","0.3373","0.00000","0.6042","1.0050","0.0000","1.5267","0.05092","0.09528","0.9238","4.167","0.0000","0.48077","0.00000","0.0000","0.2941","0.04214","0.5755","0.0000","0.0000","0.0000","0.0000","0.00000","0.21834","1.449","0.25000","0.00000","0.00000","1.249","0.0000","2.3377","1.099","0.3155","0.0000","0.00000","0.00000","0.2532","0.00000","0.67568","0.0000","0.00000","0","11.765","5.882","4.706","0.00000","0.00000","0.00000","0.00000","1.17647","0.00000","0.00000","0","10.588"
"7","text7",7,873,51.3529411764706,"33.91","263.6","19.8268","11.3971","10.6870","0.0000","0.91638","0.3861","216.1290","2.86832","5.0373","6.4657","19.4444","3.3457","0.3150","12.9330","0.0000","0.7194","139.048","8.2531","0.7059","3.5587","0.4673","0.0000","0.4831","0.0000","0.3942","1.6189","0.6006","1.6988","0.2903","0.11001","0.0000","0.00000","13.7119","0.6745","1.92926","3.9275","11.0553","10.3976","7.3791","0.40733","1.09576","0.4619","78.750","2.3301","2.40385","0.43636","1.1055","8.5294","0.33713","7.3381","1.4745","12.5000","0.0000","0.6803","2.49110","2.29258","10.145","0.75000","0.30282","0.24768","9.762","3.5256","13.7662","12.088","4.7228","16.4021","1.06525","0.35180","1.5190","0.47619","2.02703","0.0000","0.00000","0","9.737","1.947","7.102","0.00000","0.68729","0.00000","0.00000","0.00000","0.00000","0.00000","0","9.737"
"8","text8",8,1409,28.18,"36.83","264.4","31.3127","14.7978","14.0458","0.0000","3.78007","0.3861","293.5484","2.73794","6.4366","9.3340","37.9630","8.5502","2.0472","5.8787","0.8043","4.5221","220.000","13.7552","2.3529","6.9395","9.8131","0.0000","0.9662","0.0000","1.7083","1.9925","1.3514","1.9253","0.0000","0.00000","0.0000","0.00000","19.1136","0.5059","1.28617","4.2296","15.2429","19.8777","7.1247","0.05092","0.90519","0.6928","132.917","7.1845","14.42308","1.09091","3.1156","9.7059","0.25284","10.7194","3.7534","28.8462","1.3944","0.6803","2.84698","3.05677","13.043","1.00000","0.09317","0.86687","18.161","9.2949","24.4156","24.176","12.3203","38.6243","1.33156","0.70361","2.7848","0.66667","1.35135","0.1033","0.00000","0","10.788","3.762","5.962","0.00000","0.00000","0.00000","0.42583","0.21292","0.00000","0.00000","0","10.575"
"9","text9",9,259,32.375,"32.82","250.6","5.5606","2.7574","3.2061","0.0000","0.34364","0.3861","64.5161","0.78227","0.8396","1.9932","7.0988","1.1152","0.9449","1.0632","0.0000","0.4111","41.905","2.0633","0.0000","1.0676","0.4673","0.0000","0.0000","0.0000","0.3942","0.2491","0.1502","0.4530","0.0000","0.11001","0.0000","0.00000","3.6011","0.1686","0.00000","1.5106","4.6110","2.7523","1.2723","0.05092","0.09528","0.4619","17.500","0.1942","1.44231","0.07273","0.1005","0.8824","0.08428","1.9424","0.2681","3.8462","0.1992","0.0000","0.35587","0.21834","0.000","0.25000","0.02329","0.06192","3.746","1.9231","4.1558","9.341","3.2854","7.4074","0.13316","0.08795","0.2532","0.00000","0.00000","0.1033","0.00000","0","8.880","3.089","4.633","0.00000","0.00000","0.00000","0.00000","1.15830","0.00000","0.00000","0","7.722"
"10","text10",10,31,15.5,"22.58","241.9","0.7748","0.1838","0.3053","0.0000","0.00000","0.0000","6.4516","0.13038","0.0000","0.3403","0.9259","0.0000","0.0000","0.1876","0.0000","0.0000","5.714","0.2751","0.0000","0.1779","0.4673","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1133","0.0000","0.00000","0.0000","0.00000","0.4155","0.0000","0.00000","0.0000","0.2882","0.3058","0.0000","0.00000","0.00000","0.0000","2.500","0.0000","0.48077","0.00000","0.0000","0.2941","0.00000","0.2158","0.0000","0.9615","0.1992","0.0000","0.00000","0.00000","0.000","0.00000","0.00000","0.00000","0.227","0.3205","0.5195","0.000","0.2053","0.5291","0.00000","0.00000","0.0000","0.19048","0.00000","0.0000","0.00000","0","9.677","3.226","0.000","6.45161","0.00000","0.00000","0.00000","0.00000","0.00000","0.00000","0","9.677"
